# gnuplot data for packet timing
# ts	local_ts	difference
1383087066522	1383087066839	317
1383087066532	1383087066849	317
1383087066542	1383087066859	317
1383087066552	1383087066869	317
1383087066562	1383087066879	317
1383087066572	1383087066889	317
1383087066582	1383087066899	317
1383087066592	1383087066910	318
1383087066602	1383087066919	317
1383087066612	1383087066929	317
1383087066622	1383087066940	318
1383087066632	1383087066949	317
1383087066642	1383087066959	317
1383087066652	1383087066969	317
1383087066662	1383087066979	317
1383087066672	1383087066989	317
1383087066682	1383087066999	317
1383087066692	1383087067009	317
1383087066702	1383087067019	317
1383087066712	1383087067029	317
1383087066722	1383087067039	317
1383087066732	1383087067049	317
1383087066742	1383087067059	317
1383087066752	1383087067069	317
1383087066762	1383087067079	317
1383087066772	1383087067089	317
1383087066782	1383087067099	317
1383087066792	1383087067109	317
1383087066802	1383087067119	317
1383087066812	1383087067129	317
1383087066822	1383087067139	317
1383087066832	1383087067149	317
1383087066842	1383087067159	317
1383087066852	1383087067169	317
1383087066862	1383087067179	317
1383087066872	1383087067190	318
1383087066882	1383087067199	317
1383087066892	1383087067209	317
1383087066902	1383087067219	317
1383087066912	1383087067229	317
1383087066922	1383087067240	318
1383087066932	1383087067249	317
1383087066942	1383087067259	317
1383087066952	1383087067269	317
1383087066962	1383087067279	317
1383087066972	1383087067289	317
1383087066982	1383087067299	317
1383087066992	1383087067309	317
1383087067002	1383087067319	317
1383087067012	1383087067329	317
1383087067022	1383087067340	318
1383087067032	1383087067349	317
1383087067042	1383087067359	317
1383087067052	1383087067370	318
1383087067062	1383087067379	317
1383087067072	1383087067389	317
1383087067082	1383087067399	317
1383087067092	1383087067409	317
1383087067102	1383087067419	317
1383087067112	1383087067429	317
1383087067122	1383087067440	318
1383087067132	1383087067449	317
1383087067142	1383087067459	317
1383087067152	1383087067469	317
1383087067162	1383087067492	330
1383087067172	1383087067493	321
1383087067182	1383087067499	317
1383087067192	1383087067509	317
1383087067202	1383087067519	317
1383087067212	1383087067529	317
1383087067222	1383087067539	317
1383087067232	1383087067549	317
1383087067242	1383087067560	318
1383087067252	1383087067569	317
1383087067262	1383087067579	317
1383087067272	1383087067590	318
1383087067282	1383087067599	317
1383087067292	1383087067609	317
1383087067302	1383087067619	317
1383087067312	1383087067629	317
1383087067322	1383087067639	317
