# gnuplot data for packet timing
# ts	local_ts	difference
1383087066623	1383087066311	312
1383087066633	1383087066321	312
1383087066643	1383087066331	312
1383087066653	1383087066342	311
1383087066663	1383087066351	312
1383087066673	1383087066361	312
1383087066683	1383087066371	312
1383087066693	1383087066381	312
1383087066703	1383087066391	312
1383087066713	1383087066401	312
1383087066723	1383087066411	312
1383087066733	1383087066421	312
1383087066743	1383087066431	312
1383087066753	1383087066441	312
1383087066763	1383087066451	312
1383087066773	1383087066461	312
1383087066783	1383087066471	312
1383087066793	1383087066481	312
1383087066803	1383087066491	312
1383087066813	1383087066501	312
1383087066823	1383087066511	312
1383087066833	1383087066521	312
1383087066843	1383087066531	312
1383087066853	1383087066541	312
1383087066863	1383087066551	312
1383087066873	1383087066561	312
1383087066883	1383087066571	312
1383087066893	1383087066581	312
1383087066903	1383087066595	308
1383087066913	1383087066601	312
1383087066923	1383087066611	312
1383087066933	1383087066621	312
1383087066943	1383087066631	312
1383087066953	1383087066641	312
1383087066963	1383087066651	312
1383087066973	1383087066661	312
1383087066983	1383087066671	312
1383087066993	1383087066681	312
1383087067003	1383087066691	312
1383087067013	1383087066701	312
1383087067023	1383087066711	312
1383087067033	1383087066721	312
1383087067043	1383087066731	312
1383087067053	1383087066741	312
1383087067063	1383087066751	312
1383087067073	1383087066761	312
1383087067083	1383087066771	312
1383087067093	1383087066781	312
1383087067103	1383087066791	312
1383087067113	1383087066801	312
1383087067123	1383087066811	312
1383087067133	1383087066821	312
1383087067143	1383087066831	312
1383087067153	1383087066841	312
1383087067163	1383087066851	312
1383087067173	1383087066861	312
1383087067183	1383087066871	312
1383087067193	1383087066881	312
1383087067203	1383087066891	312
1383087067213	1383087066901	312
1383087067223	1383087066911	312
1383087067233	1383087066921	312
1383087067243	1383087066931	312
1383087067253	1383087066941	312
1383087067263	1383087066951	312
1383087067273	1383087066961	312
1383087067283	1383087066971	312
1383087067293	1383087066981	312
1383087067303	1383087066991	312
1383087067313	1383087067001	312
1383087067323	1383087067011	312
1383087067333	1383087067021	312
1383087067343	1383087067031	312
1383087067353	1383087067041	312
1383087067363	1383087067051	312
1383087067373	1383087067061	312
