# gnuplot data for packet timing
# ts	local_ts	difference
1383087276426	1383087276135	291
1383087276436	1383087276145	291
1383087276446	1383087276155	291
1383087276456	1383087276165	291
1383087276466	1383087276176	290
1383087276476	1383087276185	291
1383087276486	1383087276195	291
1383087276496	1383087276205	291
1383087276506	1383087276215	291
1383087276516	1383087276226	290
1383087276526	1383087276235	291
1383087276536	1383087276245	291
1383087276546	1383087276255	291
1383087276556	1383087276266	290
1383087276566	1383087276276	290
1383087276576	1383087276285	291
1383087276586	1383087276296	290
1383087276596	1383087276305	291
1383087276606	1383087276315	291
1383087276616	1383087276325	291
1383087276626	1383087276335	291
1383087276636	1383087276345	291
1383087276646	1383087276355	291
1383087276656	1383087276365	291
1383087276666	1383087276375	291
1383087276676	1383087276385	291
1383087276686	1383087276395	291
1383087276696	1383087276406	290
1383087276706	1383087276415	291
1383087276716	1383087276425	291
1383087276726	1383087276436	290
1383087276736	1383087276445	291
1383087276746	1383087276455	291
1383087276756	1383087276465	291
1383087276766	1383087276475	291
1383087276776	1383087276485	291
1383087276786	1383087276495	291
1383087276796	1383087276506	290
1383087276806	1383087276515	291
1383087276816	1383087276525	291
1383087276826	1383087276536	290
1383087276836	1383087276545	291
1383087276846	1383087276555	291
1383087276856	1383087276565	291
1383087276866	1383087276575	291
1383087276876	1383087276586	290
1383087276886	1383087276595	291
1383087276896	1383087276605	291
1383087276906	1383087276615	291
1383087276916	1383087276625	291
1383087276926	1383087276635	291
1383087276936	1383087276645	291
1383087276946	1383087276655	291
1383087276956	1383087276665	291
1383087276966	1383087276675	291
1383087276976	1383087276686	290
1383087276986	1383087276695	291
1383087276996	1383087276705	291
1383087277006	1383087276715	291
1383087277016	1383087276726	290
1383087277026	1383087276735	291
1383087277036	1383087276745	291
1383087277046	1383087276755	291
1383087277056	1383087276765	291
1383087277066	1383087276776	290
1383087277076	1383087276785	291
1383087277086	1383087276795	291
1383087277096	1383087276806	290
1383087277106	1383087276815	291
1383087277116	1383087276825	291
1383087277126	1383087276836	290
1383087277136	1383087276845	291
1383087277146	1383087276855	291
1383087277156	1383087276865	291
1383087277166	1383087276875	291
1383087277176	1383087276885	291
1383087277186	1383087276896	290
1383087277196	1383087276905	291
1383087277206	1383087276915	291
1383087277216	1383087276926	290
1383087277226	1383087276935	291
1383087277236	1383087276945	291
1383087277246	1383087276955	291
1383087277256	1383087276965	291
1383087277266	1383087276976	290
1383087277276	1383087276985	291
1383087277286	1383087276995	291
1383087277296	1383087277006	290
1383087277306	1383087277015	291
1383087277316	1383087277025	291
1383087277326	1383087277035	291
1383087277336	1383087277045	291
1383087277346	1383087277055	291
1383087277356	1383087277065	291
1383087277366	1383087277076	290
1383087277376	1383087277085	291
1383087277386	1383087277095	291
1383087277396	1383087277105	291
1383087277406	1383087277115	291
1383087277416	1383087277125	291
1383087277426	1383087277135	291
1383087277436	1383087277145	291
1383087277446	1383087277155	291
1383087277456	1383087277165	291
1383087277466	1383087277175	291
1383087277476	1383087277185	291
1383087277486	1383087277195	291
1383087277496	1383087277206	290
1383087277506	1383087277215	291
1383087277516	1383087277225	291
1383087277526	1383087277236	290
1383087277536	1383087277245	291
1383087277546	1383087277255	291
1383087277556	1383087277266	290
1383087277566	1383087277275	291
1383087277576	1383087277285	291
1383087277586	1383087277296	290
1383087277596	1383087277305	291
1383087277606	1383087277315	291
1383087277616	1383087277326	290
1383087277626	1383087277335	291
1383087277636	1383087277345	291
1383087277646	1383087277356	290
1383087277656	1383087277365	291
1383087277666	1383087277376	290
1383087277676	1383087277385	291
1383087277686	1383087277395	291
1383087277696	1383087277405	291
1383087277706	1383087277416	290
1383087277716	1383087277425	291
1383087277726	1383087277435	291
1383087277736	1383087277446	290
1383087277746	1383087277455	291
1383087277756	1383087277465	291
1383087277766	1383087277476	290
1383087277776	1383087277485	291
1383087277786	1383087277496	290
1383087277796	1383087277505	291
1383087277806	1383087277515	291
1383087277816	1383087277526	290
1383087277826	1383087277535	291
1383087277836	1383087277545	291
1383087277846	1383087277556	290
1383087277856	1383087277565	291
1383087277866	1383087277575	291
1383087277876	1383087277586	290
1383087277886	1383087277595	291
1383087277896	1383087277606	290
1383087277906	1383087277615	291
1383087277916	1383087277625	291
1383087277926	1383087277635	291
1383087277936	1383087277646	290
1383087277946	1383087277655	291
1383087277956	1383087277665	291
1383087277966	1383087277676	290
1383087277976	1383087277685	291
1383087277986	1383087277695	291
1383087277996	1383087277706	290
1383087278006	1383087277715	291
1383087278016	1383087277725	291
1383087278026	1383087277736	290
1383087278036	1383087277745	291
1383087278046	1383087277755	291
1383087278056	1383087277766	290
1383087278066	1383087277775	291
1383087278076	1383087277785	291
1383087278086	1383087277796	290
1383087278096	1383087277805	291
1383087278106	1383087277815	291
1383087278116	1383087277826	290
1383087278126	1383087277835	291
1383087278136	1383087277845	291
1383087278146	1383087277855	291
1383087278156	1383087277865	291
1383087278166	1383087277876	290
1383087278176	1383087277885	291
1383087278186	1383087277895	291
1383087278196	1383087277906	290
1383087278206	1383087277915	291
1383087278216	1383087277925	291
1383087278226	1383087277935	291
1383087278236	1383087277945	291
1383087278246	1383087277955	291
1383087278256	1383087277965	291
1383087278266	1383087277975	291
1383087278276	1383087277985	291
1383087278286	1383087277995	291
1383087278296	1383087278005	291
1383087278306	1383087278015	291
1383087278316	1383087278025	291
1383087278326	1383087278035	291
1383087278336	1383087278045	291
1383087278346	1383087278055	291
1383087278356	1383087278065	291
1383087278366	1383087278075	291
1383087278376	1383087278086	290
1383087278386	1383087278095	291
1383087278396	1383087278105	291
1383087278406	1383087278115	291
1383087278416	1383087278125	291
1383087278426	1383087278135	291
1383087278436	1383087278145	291
1383087278446	1383087278156	290
1383087278456	1383087278165	291
1383087278466	1383087278175	291
1383087278476	1383087278185	291
1383087278486	1383087278195	291
1383087278496	1383087278205	291
1383087278506	1383087278215	291
1383087278516	1383087278226	290
1383087278526	1383087278235	291
1383087278536	1383087278245	291
1383087278546	1383087278255	291
1383087278556	1383087278265	291
1383087278566	1383087278275	291
1383087278576	1383087278285	291
1383087278586	1383087278295	291
1383087278596	1383087278305	291
1383087278606	1383087278315	291
1383087278616	1383087278325	291
1383087278626	1383087278335	291
1383087278636	1383087278345	291
1383087278646	1383087278355	291
1383087278656	1383087278365	291
1383087278666	1383087278375	291
1383087278676	1383087278385	291
1383087278686	1383087278395	291
1383087278696	1383087278405	291
1383087278706	1383087278415	291
1383087278716	1383087278425	291
1383087278726	1383087278435	291
1383087278736	1383087278445	291
1383087278746	1383087278455	291
1383087278756	1383087278465	291
1383087278766	1383087278475	291
1383087278776	1383087278485	291
1383087278786	1383087278495	291
1383087278796	1383087278505	291
1383087278806	1383087278515	291
1383087278816	1383087278525	291
1383087278826	1383087278535	291
1383087278836	1383087278565	271
1383087278846	1383087278575	271
1383087278856	1383087278585	271
1383087278866	1383087278595	271
1383087278876	1383087278605	271
1383087278886	1383087278615	271
1383087278896	1383087278625	271
1383087278906	1383087278635	271
1383087278916	1383087278645	271
1383087278926	1383087278655	271
1383087278936	1383087278665	271
1383087278946	1383087278675	271
1383087278956	1383087278685	271
1383087278966	1383087278695	271
1383087278976	1383087278705	271
1383087278986	1383087278715	271
1383087278996	1383087278725	271
1383087279006	1383087278735	271
1383087279016	1383087278745	271
1383087279026	1383087278755	271
1383087279036	1383087278765	271
1383087279046	1383087278775	271
1383087279056	1383087278786	270
1383087279066	1383087278795	271
1383087279076	1383087278805	271
1383087279086	1383087278816	270
1383087279096	1383087278825	271
1383087279106	1383087278836	270
1383087279116	1383087278845	271
1383087279126	1383087278855	271
1383087279136	1383087278865	271
1383087279146	1383087278875	271
1383087279156	1383087278885	271
1383087279166	1383087278895	271
1383087279176	1383087278905	271
1383087279186	1383087278915	271
1383087279196	1383087278925	271
1383087279206	1383087278935	271
1383087279216	1383087278945	271
1383087279226	1383087278955	271
1383087279236	1383087278965	271
1383087279246	1383087278975	271
1383087279256	1383087278985	271
1383087279266	1383087278995	271
1383087279276	1383087279005	271
1383087279286	1383087279015	271
1383087279296	1383087279025	271
1383087279306	1383087279035	271
1383087279316	1383087279045	271
1383087279326	1383087279055	271
1383087279336	1383087279065	271
1383087279346	1383087279075	271
1383087279356	1383087279085	271
1383087279366	1383087279095	271
1383087279376	1383087279105	271
1383087279386	1383087279115	271
1383087279396	1383087279125	271
1383087279406	1383087279135	271
1383087279416	1383087279145	271
1383087279426	1383087279155	271
1383087279436	1383087279165	271
1383087279446	1383087279175	271
1383087279456	1383087279185	271
1383087279466	1383087279195	271
1383087279476	1383087279205	271
1383087279486	1383087279215	271
1383087279496	1383087279225	271
1383087279506	1383087279235	271
1383087279516	1383087279245	271
1383087279526	1383087279255	271
1383087279536	1383087279265	271
1383087279546	1383087279275	271
1383087279556	1383087279285	271
1383087279566	1383087279295	271
1383087279576	1383087279305	271
1383087279586	1383087279315	271
1383087279596	1383087279325	271
1383087279606	1383087279335	271
1383087279616	1383087279345	271
1383087279626	1383087279355	271
1383087279636	1383087279365	271
1383087279646	1383087279375	271
1383087279656	1383087279385	271
1383087279666	1383087279395	271
1383087279676	1383087279405	271
1383087279686	1383087279415	271
1383087279696	1383087279425	271
1383087279706	1383087279435	271
1383087279716	1383087279445	271
1383087279726	1383087279455	271
1383087279736	1383087279465	271
1383087279746	1383087279475	271
1383087279756	1383087279485	271
1383087279766	1383087279495	271
