# gnuplot data for packet timing
# ts	local_ts	difference
1383126868538	1383126868663	125
1383126868547	1383126868669	122
1383126868557	1383126868674	117
1383126868573	1383126868681	108
1383126868577	1383126868686	109
1383126868587	1383126868691	104
1383126868597	1383126868711	114
1383126868607	1383126868717	110
1383126868632	1383126868722	90
1383126868642	1383126868727	85
1383126868652	1383126868733	81
1383126868667	1383126868740	73
1383126868672	1383126868759	87
1383126868682	1383126868765	83
1383126868692	1383126868772	80
1383126868702	1383126868779	77
1383126868726	1383126868784	58
1383126868736	1383126868788	52
1383126868746	1383126868815	69
1383126868763	1383126868821	58
1383126868766	1383126868826	60
1383126868776	1383126868832	56
1383126868785	1383126868850	65
1383126868795	1383126868856	61
1383126868820	1383126868862	42
1383126868831	1383126868868	37
1383126868840	1383126868873	33
1383126868856	1383126868880	24
1383126868861	1383126868899	38
1383126868871	1383126868904	33
1383126868880	1383126868909	29
1383126868890	1383126868914	24
1383126868915	1383126868921	6
1383126868925	1383126868925	0
1383126868935	1383126868943	8
1383126868949	1383126868949	0
1383126868955	1383126868954	1
1383126868965	1383126868959	6
1383126868975	1383126868970	5
1383126868985	1383126868991	6
1383126869009	1383126869005	4
1383126869019	1383126869017	2
1383126869029	1383126869049	20
1383126869044	1383126869056	12
1383126869049	1383126869060	11
1383126869059	1383126869070	11
1383126869069	1383126869076	7
1383126869091	1383126869093	2
1383126869104	1383126869104	0
1383126869115	1383126869110	5
1383126869124	1383126869138	14
1383126869142	1383126869140	2
1383126869155	1383126869151	4
1383126869166	1383126869161	5
1383126869176	1383126869184	8
1383126869201	1383126869203	2
1383126869211	1383126869207	4
1383126869221	1383126869232	11
1383126869236	1383126869239	3
1383126869241	1383126869242	1
1383126869251	1383126869255	4
1383126869261	1383126869259	2
1383126869283	1383126869281	2
1383126869296	1383126869292	4
1383126869306	1383126869303	3
1383126869316	1383126869327	11
1383126869331	1383126869334	3
1383126869336	1383126869336	0
1383126869346	1383126869346	0
1383126869356	1383126869352	4
1383126869366	1383126869375	9
1383126869379	1383126869378	1
1383126869386	1383126869387	1
1383126869396	1383126869391	5
1383126869406	1383126869403	3
1383126869426	1383126869423	3
1383126869439	1383126869441	2
1383126869449	1383126869445	4
1383126869459	1383126869469	10
1383126869484	1383126869481	3
1383126869494	1383126869489	5
1383126869504	1383126869514	10
1383126869520	1383126869520	0
1383126869524	1383126869523	1
1383126869534	1383126869533	1
1383126869544	1383126869538	6
1383126869553	1383126869564	11
1383126869566	1383126869568	2
1383126869574	1383126869579	5
1383126869584	1383126869586	2
1383126869594	1383126869590	4
1383126869612	1383126869611	1
1383126869625	1383126869631	6
1383126869658	1383126869654	4
1383126869672	1383126869672	0
1383126869682	1383126869678	4
1383126869692	1383126869701	9
1383126869717	1383126869714	3
1383126869727	1383126869722	5
1383126869737	1383126869732	5
1383126869752	1383126869750	2
1383126869757	1383126869756	1
1383126869767	1383126869762	5
1383126869777	1383126869772	5
1383126869787	1383126869796	9
1383126869800	1383126869801	1
1383126869807	1383126869806	1
1383126869817	1383126869818	1
1383126869827	1383126869822	5
1383126869847	1383126869842	5
1383126869861	1383126869861	0
1383126869871	1383126869881	10
1383126869881	1383126869897	16
1383126869906	1383126869904	2
1383126869916	1383126869911	5
1383126869926	1383126869936	10
1383126869943	1383126869938	5
1383126869946	1383126869952	6
1383126869956	1383126869957	1
1383126869966	1383126869963	3
1383126869976	1383126869987	11
1383126869990	1383126869992	2
1383126869996	1383126869997	1
1383126870006	1383126870008	2
1383126870016	1383126870034	18
1383126870026	1383126870040	14
1383126870038	1383126870048	10
1383126870046	1383126870054	8
1383126870056	1383126870082	26
1383126870066	1383126870086	20
1383126870085	1383126870096	11
1383126870098	1383126870106	8
1383126870108	1383126870108	0
1383126870118	1383126870130	12
1383126870144	1383126870140	4
1383126870155	1383126870152	3
1383126870164	1383126870160	4
1383126870181	1383126870179	2
1383126870184	1383126870184	0
1383126870194	1383126870190	4
1383126870205	1383126870200	5
1383126870214	1383126870221	7
1383126870228	1383126870227	1
1383126870234	1383126870233	1
1383126870244	1383126870239	5
1383126870254	1383126870248	6
1383126870264	1383126870271	7
1383126870276	1383126870276	0
1383126870284	1383126870282	2
1383126870294	1383126870289	5
1383126870304	1383126870298	6
1383126870322	1383126870322	0
1383126870335	1383126870333	2
1383126870345	1383126870340	5
1383126870355	1383126870363	8
1383126870369	1383126870368	1
1383126870375	1383126870375	0
1383126870385	1383126870380	5
1383126870395	1383126870389	6
1383126870405	1383126870411	6
1383126870415	1383126870415	0
1383126870425	1383126870423	2
1383126870435	1383126870430	5
1383126870445	1383126870440	5
1383126870462	1383126870461	1
1383126870466	1383126870467	1
1383126870475	1383126870474	1
1383126870485	1383126870480	5
1383126870495	1383126870506	11
1383126870511	1383126870511	0
1383126870515	1383126870517	2
1383126870525	1383126870523	2
1383126870535	1383126870530	5
1383126870545	1383126870553	8
1383126870559	1383126870565	6
1383126870581	1383126870578	3
1383126870591	1383126870600	9
1383126870605	1383126870605	0
1383126870611	1383126870610	1
1383126870621	1383126870617	4
1383126870631	1383126870628	3
1383126870641	1383126870649	8
1383126870652	1383126870651	1
1383126870661	1383126870661	0
1383126870671	1383126870669	2
1383126870681	1383126870678	3
1383126870699	1383126870695	4
1383126870712	1383126870710	2
1383126870722	1383126870718	4
1383126870732	1383126870739	7
1383126870746	1383126870746	0
1383126870752	1383126870751	1
1383126870762	1383126870757	5
1383126870772	1383126870767	5
1383126870782	1383126870788	6
1383126870793	1383126870791	2
1383126870802	1383126870799	3
1383126870812	1383126870809	3
1383126870822	1383126870817	5
1383126870841	1383126870836	5
1383126870854	1383126870850	4
1383126870864	1383126870859	5
1383126870874	1383126870880	6
1383126870888	1383126870886	2
1383126870894	1383126870891	3
1383126870904	1383126870899	5
1383126870914	1383126870908	6
1383126870924	1383126870927	3
1383126870934	1383126870933	1
1383126870944	1383126870939	5
1383126870954	1383126870949	5
1383126870964	1383126870959	5
1383126870979	1383126870977	2
1383126870984	1383126870982	2
1383126870994	1383126870989	5
